;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2021 (continuação);;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2021 (continued);;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
";Esperança de vida aos 65 anos;;;;;;
;%;N.º;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2021;;;;;;;;;;;2019-2021;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Cadaval; 15,2;  0,42; 260,5; 67,3; 51,1; 52,1; 92,3; 166,7;x;x;x;x;x;;16B1104;;;;x
Caldas da Rainha; 5,3;  1,16; 215,7; 71,6; 41,6; 50,3; 89,1; 111,7;x;x;x;x;x;;16B1006;;;;x
Lourinhã; 3,6;  1,05; 192,2; 73,1; 41,6; 47,9; 93,6; 118,1;x;x;x;x;x;;16B1108;;;;x
Nazaré; 15,4;  1,74; 209,6; 68,4; 43,2; 45,5; 90,8; 115,8;x;x;x;x;x;;16B1011;;;;x
Óbidos; 2,2;  1,23; 217,2; 65,8; 43,5; 47,3; 95,5; 142,6;x;x;x;x;x;;16B1012;;;;x
Peniche; 10,3;  1,15; 195,9; 66,8; 43,2; 48,9; 92,3; 108,9;x;x;x;x;x;;16B1014;;;;x
Sobral de Monte Agraço; 8,9;  0,69; 136,5; 82,5; 31,2; 49,6; 92,8; 97,3;x;x;x;x;x;;16B1112;;;;x
Torres Vedras; 13,6;  1,18; 172,7; 80,0; 35,6; 51,0; 93,5; 150,6;x;x;x;x;x;;16B1113;;;;x
   Região de Aveiro; 11,3;  0,65; 187,6; 74,7; 37,0; 48,5; 91,8; 100,3; 30,4; 32,2; 33,6;  81,10;  19,77;;16D;;;x;
Águeda; 7,5;  0,63; 216,2; 68,3; 41,6; 48,0; 92,3; 110,8;x;x;x;x;x;;16D0101;;;;x
Albergaria-a-Velha; 5,3;  0,45; 180,4; 75,0; 35,6; 47,4; 94,3; 85,2;x;x;x;x;x;;16D0102;;;;x
Anadia; 3,6;  0,34; 277,3; 64,7; 49,5; 51,4; 91,6; 100,0;x;x;x;x;x;;16D0103;;;;x
Aveiro; 15,8;  1,37; 163,6; 82,0; 32,2; 47,3; 90,3; 97,3;x;x;x;x;x;;16D0105;;;;x
Estarreja; 11,1;  0,25; 195,6; 70,8; 38,9; 50,8; 93,5; 94,1;x;x;x;x;x;;16D0108;;;;x
Ílhavo; 13,4;  0,61; 162,6; 72,0; 33,5; 46,8; 90,4; 90,6;x;x;x;x;x;;16D0110;;;;x
Murtosa; 12,3;  0,38; 183,1; 77,3; 39,7; 51,1; 93,6; 100,0;x;x;x;x;x;;16D0112;;;;x
Oliveira do Bairro; 9,1;  0,54; 169,9; 89,9; 37,5; 52,2; 90,3; 95,4;x;x;x;x;x;;16D0114;;;;x
Ovar; 16,2;  0,27; 176,0; 74,8; 33,3; 44,9; 92,2; 112,7;x;x;x;x;x;;16D0115;;;;x
Sever do Vouga; 5,9;  0,42; 292,7; 63,2; 49,4; 52,3; 93,9; 109,1;x;x;x;x;x;;16D0117;;;;x
Vagos; 6,9;  0,49; 182,6; 76,0; 38,5; 50,6; 92,3; 138,3;x;x;x;x;x;;16D0118;;;;x
   Região de Coimbra; 8,0;  0,71; 247,1; 65,5; 45,9; 51,6; 89,3; 89,7; 31,3; 33,0; 34,4;  81,12;  19,78;;16E;;;x;
Arganil; 5,9;  0,62; 322,6; 51,6; 58,7; 56,1; 91,0; 97,1;x;x;x;x;x;;16E0601;;;;x
Cantanhede; 7,0;  0,38; 270,8; 64,3; 52,2; 53,0; 89,5; 144,4;x;x;x;x;x;;16E0602;;;;x
Coimbra; 6,6;  1,28; 217,4; 75,0; 40,7; 48,7; 86,9; 74,1;x;x;x;x;x;;16E0603;;;;x
Condeixa-a-Nova; 3,0;  0,20; 169,8; 67,6; 35,9; 51,8; 87,7; 94,1;x;x;x;x;x;;16E0604;;;;x
Figueira da Foz; 17,9;  0,75; 257,5; 58,1; 47,2; 50,2; 89,9; 112,0;x;x;x;x;x;;16E0605;;;;x
Góis; 0,0;  0,26; 468,1; 48,9; 69,8; 57,6; 86,7; 100,0;x;x;x;x;x;;16E0606;;;;x
Lousã; 4,0;  0,26; 178,7; 71,3; 36,1; 50,7; 93,0; 69,2;x;x;x;x;x;;16E0607;;;;x
Mealhada; 0,0;  0,28; 232,6; 64,9; 41,8; 52,2; 91,5; 77,4;x;x;x;x;x;;16E0111;;;;x
Mira; 0,0;  0,40; 267,5; 63,5; 53,8; 53,4; 90,7; 84,6;x;x;x;x;x;;16E0608;;;;x
Miranda do Corvo; 0,0;  0,31; 254,2; 61,8; 43,0; 53,0; 92,2; 94,7;x;x;x;x;x;;16E0609;;;;x
Montemor-o-Velho; 1,3;  0,24; 213,7; 61,1; 42,3; 53,5; 92,5; 130,8;x;x;x;x;x;;16E0610;;;;x
Mortágua; 23,5;  0,67; 373,3; 59,7; 64,0; 52,0; 90,9; 150,0;x;x;x;x;x;;16E1808;;;;x
Oliveira do Hospital; 4,2;  0,62; 262,7; 64,9; 47,4; 52,7; 92,1; 146,9;x;x;x;x;x;;16E0611;;;;x
Pampilhosa da Serra; 14,3;  0,05; 707,1; 36,4; 97,0; 58,3; 87,9; 100,0;x;x;x;x;x;;16E0612;;;;x
Penacova; 2,5;  0,25; 349,0; 56,0; 55,1; 51,4; 89,0; 135,7;x;x;x;x;x;;16E0613;;;;x
Penela; 22,2;  0,77; 309,1; 56,6; 54,7; 57,4; 91,0; 133,3;x;x;x;x;x;;16E0614;;;;x
Soure; 7,5;  0,20; 341,5; 58,1; 60,0; 54,7; 90,2; 100,0;x;x;x;x;x;;16E0615;;;;x
Tábua; 12,5;  0,53; 267,9; 61,7; 50,9; 54,2; 90,2; 168,2;x;x;x;x;x;;16E0616;;;;x
Vila Nova de Poiares; 0,0;  0,51; 238,7; 69,3; 40,8; 52,3; 88,5; 118,8;x;x;x;x;x;;16E0617;;;;x
   Região de Leiria; 13,1;  0,84; 204,7; 73,1; 40,5; 50,6; 92,4; 115,7; 30,6; 32,5; 34,4;  81,18;  19,60;;16F;;;x;
Alvaiázere; 20,0;  0,21; 408,3; 52,5; 68,3; 54,9; 87,6; 333,3;x;x;x;x;x;;16F1002;;;;x
Ansião; 7,7;  0,30; 325,2; 59,1; 56,3; 55,7; 90,5; 133,3;x;x;x;x;x;;16F1003;;;;x
Batalha; 14,3;  0,52; 165,2; 74,6; 36,5; 48,8; 93,8; 145,5;x;x;x;x;x;;16F1004;;;;x
Castanheira de Pêra; 50,0;  0,45; 502,0; 48,8; 71,0; 53,2; 90,2; 100,0;x;x;x;x;x;;16F1007;;;;x
Figueiró dos Vinhos; 0,0;  0,23; 389,6; 46,0; 63,8; 51,4; 89,6; 200,0;x;x;x;x;x;;16F1008;;;;x
Leiria; 11,3;  1,02; 172,0; 79,3; 34,9; 49,2; 92,7; 102,9;x;x;x;x;x;;16F1009;;;;x
Marinha Grande; 27,3;  1,16; 184,2; 75,6; 36,8; 46,7; 93,1; 149,5;x;x;x;x;x;;16F1010;;;;x
Pedrógão Grande; 0,0;  2,40; 446,9; 48,1; 63,5; 53,5; 90,2; 86,4;x;x;x;x;x;;16F1013;;;;x
Pombal; 11,1;  0,56; 252,7; 67,1; 49,0; 52,9; 91,1; 121,5;x;x;x;x;x;;16F1015;;;;x
Porto de Mós; 9,1;  0,49; 201,0; 76,3; 40,1; 52,4; 94,4; 125,5;x;x;x;x;x;;16F1016;;;;x
   Viseu Dão Lafões; 6,7;  0,47; 248,4; 68,3; 47,5; 51,7; 89,7; 116,5; 30,4; 31,5; 32,8;  80,89;  19,82;;16G;;;x;
Aguiar da Beira; 0,0;  0,06; 465,8; 51,3; 71,0; 54,6; 88,5; 200,0;x;x;x;x;x;;16G0901;;;;x
Carregal do Sal; 11,1;  0,49; 286,1; 61,3; 55,5; 51,3; 88,7; 144,4;x;x;x;x;x;;16G1802;;;;x
Castro Daire; 2,3;  0,13; 337,6; 56,2; 56,1; 52,2; 91,1; 80,0;x;x;x;x;x;;16G1803;;;;x
Mangualde; 6,3;  0,24; 269,7; 63,9; 50,0; 51,8; 91,7; 83,3;x;x;x;x;x;;16G1806;;;;x
Nelas; 9,1;  0,21; 268,4; 62,4; 53,6; 51,9; 89,8; 100,0;x;x;x;x;x;;16G1809;;;;x
Oliveira de Frades; 8,8;  0,92; 205,4; 75,1; 39,6; 51,8; 92,1; 166,7;x;x;x;x;x;;16G1810;;;;x
Penalva do Castelo; 0,0;  0,11; 354,7; 58,5; 64,2; 54,3; 91,9; 700,0;x;x;x;x;x;;16G1811;;;;x
Santa Comba Dão; 15,4;  0,51; 301,7; 61,0; 57,9; 52,6; 89,4; 217,6;x;x;x;x;x;;16G1814;;;;x
São Pedro do Sul; 9,1;  0,43; 335,4; 63,0; 57,8; 51,7; 89,7; 195,5;x;x;x;x;x;;16G1816;;;;x
Sátão; 0,0;  0,20; 278,3; 66,3; 52,3; 53,3; 89,5; 100,0;x;x;x;x;x;;16G1817;;;;x
Tondela; 8,3;  0,41; 320,9; 63,2; 55,2; 53,8; 89,9; 146,5;x;x;x;x;x;;16G1821;;;;x
Vila Nova de Paiva; 6,7;  0,06; 329,8; 63,8; 56,4; 53,4; 92,3; 50,0;x;x;x;x;x;;16G1822;;;;x
Viseu; 5,9;  0,69; 182,0; 77,6; 37,5; 49,3; 88,8; 100,0;x;x;x;x;x;;16G1823;;;;x
Vouzela; 16,7;  0,27; 317,2; 67,7; 53,7; 55,2; 89,2; 100,0;x;x;x;x;x;;16G1824;;;;x
   Beira Baixa; 6,5;  0,81; 331,7; 56,4; 59,5; 55,2; 91,0; 127,2; 29,9; 32,8; 34,5;  79,96;  19,61;;16H;;;x;
Castelo Branco; 7,0;  0,85; 250,1; 62,7; 47,5; 51,9; 89,8; 114,0;x;x;x;x;x;;16H0502;;;;x
Idanha-a-Nova; 18,2;  1,05; 494,6; 47,0; 87,5; 61,2; 91,8; 175,0;x;x;x;x;x;;16H0505;;;;x
Oleiros; 0,0;  0,67; 783,7; 40,5; 95,6; 58,1; 91,7; 175,0;x;x;x;x;x;;16H0506;;;;x
Penamacor; 0,0;  0,73; 676,6; 41,9; 90,9; 62,1; 97,4; 105,9;x;x;x;x;x;;16H0507;;;;x
Proença-a-Nova; 0,0;  0,45; 469,0; 48,3; 71,9; 54,5; 93,8; 166,7;x;x;x;x;x;;16H0508;;;;x
Vila Velha de Ródão; 0,0;  0,85; 508,5; 49,2; 98,2; 61,7; 90,8; 180,0;x;x;x;x;x;;16H0511;;;;x
   Médio Tejo; 6,0;  0,57; 256,4; 63,0; 48,9; 53,7; 90,2; 98,9; 30,0; 32,6; 33,8;  80,73;  19,48;;16I;;;x;
Abrantes; 9,9;  0,19; 309,6; 53,9; 53,6; 53,0; 92,1; 88,6;x;x;x;x;x;;16I1401;;;;x
Alcanena; 12,5;  0,44; 240,2; 60,4; 48,0; 50,8; 92,4; 96,4;x;x;x;x;x;;16I1402;;;;x
Constância; 8,3;  0,05; 215,0; 60,2; 41,5; 50,9; 91,2; 100,0;x;x;x;x;x;;16I1408;;;;x
Entroncamento; 0,0;  1,03; 144,7; 72,8; 32,6; 53,6; 88,7; 79,5;x;x;x;x;x;;16I1410;;;;x
