;;;;;;;;;;;;;;;
II.1.3 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2021 (continua);;;;;;;;;;;;;;;
II.1.3 - Resident population by municipality and according to age groups and sex on 31/12/2021 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município
Castelo Branco;  52 311;  24 753;  27 558;  5 968;  3 031;  2 937;  4 849;  2 493;  2 356;;16H0502;;;;x
Idanha-a-Nova;  8 317;  3 981;  4 336;   717;   372;   345;   607;   315;   292;;16H0505;;;;x
Oleiros;  4 924;  2 356;  2 568;   289;   163;   126;   303;   144;   159;;16H0506;;;;x
Penamacor;  4 745;  2 341;  2 404;   312;   171;   141;   297;   167;   130;;16H0507;;;;x
Proença-a-Nova;  7 133;  3 453;  3 680;   584;   296;   288;   553;   279;   274;;16H0508;;;;x
Vila Velha de Ródão;  3 301;  1 571;  1 730;   293;   154;   139;   199;   106;   93;;16H0511;;;;x
   Médio Tejo;  229 258;  108 750;  120 508;  26 035;  13 436;  12 599;  22 748;  11 724;  11 024;;16I;;;x;
Abrantes;  34 207;  16 402;  17 805;  3 465;  1 786;  1 679;  3 240;  1 727;  1 513;;16I1401;;;;x
Alcanena;  12 487;  5 998;  6 489;  1 485;   761;   724;  1 225;   651;   574;;16I1402;;;;x
Constância;  3 832;  1 828;  2 004;   460;   234;   226;   411;   211;   200;;16I1408;;;;x
Entroncamento;  20 476;  9 626;  10 850;  2 973;  1 507;  1 466;  2 253;  1 115;  1 138;;16I1410;;;;x
Ferreira do Zêzere;  7 812;  3 691;  4 121;   838;   417;   421;   722;   377;   345;;16I1411;;;;x
Mação;  6 379;  3 052;  3 327;   480;   239;   241;   478;   254;   224;;16I1413;;;;x
Ourém;  44 725;  20 996;  23 729;  5 405;  2 785;  2 620;  4 704;  2 334;  2 370;;16I1421;;;;x
Sardoal;  3 532;  1 699;  1 833;   306;   152;   154;   321;   177;   144;;16I1417;;;;x
Sertã;  14 760;  7 116;  7 644;  1 570;   825;   745;  1 415;   746;   669;;16I0509;;;;x
Tomar;  36 416;  17 125;  19 291;  3 776;  2 012;  1 764;  3 554;  1 842;  1 712;;16I1418;;;;x
Torres Novas;  34 203;  16 301;  17 902;  4 053;  2 124;  1 929;  3 428;  1 778;  1 650;;16I1419;;;;x
Vila de Rei;  3 317;  1 550;  1 767;   307;   149;   158;   287;   154;   133;;16I0510;;;;x
Vila Nova da Barquinha;  7 112;  3 366;  3 746;   917;   445;   472;   710;   358;   352;;16I1420;;;;x
   Beiras e Serra da Estrela;  210 317;  99 862;  110 455;  20 413;  10 413;  10 000;  18 593;  9 516;  9 077;;16J;;;x;
Almeida;  5 846;  2 736;  3 110;   354;   181;   173;   406;   207;   199;;16J0902;;;;x
Belmonte;  6 211;  2 955;  3 256;   638;   327;   311;   506;   252;   254;;16J0501;;;;x
Celorico da Beira;  6 568;  3 107;  3 461;   615;   309;   306;   578;   298;   280;;16J0903;;;;x
Covilhã;  46 391;  22 056;  24 335;  4 804;  2 466;  2 338;  4 347;  2 213;  2 134;;16J0503;;;;x
Figueira de Castelo Rodrigo;  5 147;  2 448;  2 699;   509;   257;   252;   398;   203;   195;;16J0904;;;;x
Fornos de Algodres;  4 398;  2 038;  2 360;   386;   186;   200;   373;   176;   197;;16J0905;;;;x
